ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-mir-130a-3p,MIMAT0000425,ACVR1,90,PAR-CLIP//qRT-PCR,23418453|21572407,Unspecified
hsa-mir-130a-3p,MIMAT0000425,ADARB2,105,PAR-CLIP,22012620,Unspecified
hsa-mir-130a-3p,MIMAT0000425,PARP1,142,PAR-CLIP,23446348|22012620|20371350,Unspecified
hsa-mir-130a-3p,MIMAT0000425,ABCD2,225,PAR-CLIP,20371350,Unspecified
hsa-mir-130a-3p,MIMAT0000425,XIAP,331,HITS-CLIP//Luciferase reporter assay,23824327|24145606,Unspecified
hsa-mir-130a-3p,MIMAT0000425,APP,351,Luciferase reporter assay,19110058,Unspecified
hsa-mir-130a-3p,MIMAT0000425,ARHGAP1,392,PAR-CLIP,23592263|21572407|20371350,Unspecified
hsa-mir-130a-3p,MIMAT0000425,ARSA,410,PAR-CLIP,27292025,Unspecified
hsa-mir-130a-3p,MIMAT0000425,ATP6V1B2,526,PAR-CLIP,23592263|23446348|22012620|21572407|20371350,Unspecified
hsa-mir-130a-3p,MIMAT0000425,ATP6V1C1,528,PAR-CLIP,22012620|21572407,Unspecified
hsa-mir-130a-3p,MIMAT0000425,BMP3,651,PAR-CLIP,21572407,Unspecified
hsa-mir-130a-3p,MIMAT0000425,BMPR2,659,Microarray//qRT-PCR,23418453|22942087,Unspecified
hsa-mir-130a-3p,MIMAT0000425,BTG1,694,HITS-CLIP,23313552,Unspecified
hsa-mir-130a-3p,MIMAT0000425,CALM2,805,HITS-CLIP//PAR-CLIP,23446348|20371350|21572407,Unspecified
hsa-mir-130a-3p,MIMAT0000425,RUNX3,864,LacZ reporter assay//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,22846564|23874686|26375442|26134263,Unspecified
hsa-mir-130a-3p,MIMAT0000425,CCNA2,890,PAR-CLIP,23592263|21572407|20371350,Unspecified
hsa-mir-130a-3p,MIMAT0000425,CCND2,894,PAR-CLIP,22012620,Unspecified
hsa-mir-130a-3p,MIMAT0000425,CCT6A,908,PAR-CLIP,21572407,Unspecified
hsa-mir-130a-3p,MIMAT0000425,CDK4,1019,HITS-CLIP,23824327,Unspecified
hsa-mir-130a-3p,MIMAT0000425,CFL2,1073,PAR-CLIP,21572407,Unspecified
hsa-mir-130a-3p,MIMAT0000425,CLCN3,1182,PAR-CLIP,22012620|21572407,Unspecified
hsa-mir-130a-3p,MIMAT0000425,TPP1,1200,PAR-CLIP,23592263,Unspecified
hsa-mir-130a-3p,MIMAT0000425,CCR6,1235,HITS-CLIP,23824327,Unspecified
hsa-mir-130a-3p,MIMAT0000425,KLF6,1316,PAR-CLIP,23592263,Unspecified
hsa-mir-130a-3p,MIMAT0000425,SLC31A1,1317,HITS-CLIP,23824327,Unspecified
hsa-mir-130a-3p,MIMAT0000425,COX10,1352,PAR-CLIP,23592263|22012620|21572407,Unspecified
hsa-mir-130a-3p,MIMAT0000425,CSF1,1435,Luciferase reporter assay//Reporter assay//Western blot,14697198|18823650,Unspecified
hsa-mir-130a-3p,MIMAT0000425,CSNK2A1,1457,PAR-CLIP,26701625,Unspecified
hsa-mir-130a-3p,MIMAT0000425,DAD1,1603,PAR-CLIP,21572407|27292025,Unspecified
hsa-mir-130a-3p,MIMAT0000425,DAPK1,1612,PAR-CLIP,21572407,Unspecified
hsa-mir-130a-3p,MIMAT0000425,DDX6,1656,PAR-CLIP,26701625,Unspecified
hsa-mir-130a-3p,MIMAT0000425,DYNC1LI2,1783,PAR-CLIP,21572407,Unspecified
hsa-mir-130a-3p,MIMAT0000425,DNM2,1785,qRT-PCR,23418453,Unspecified
hsa-mir-130a-3p,MIMAT0000425,DPYSL2,1808,PAR-CLIP,22012620,Unspecified
hsa-mir-130a-3p,MIMAT0000425,EDN1,1906,PAR-CLIP,23592263,Unspecified
hsa-mir-130a-3p,MIMAT0000425,EREG,2069,PAR-CLIP,26701625,Unspecified
hsa-mir-130a-3p,MIMAT0000425,ESR1,2099,GFP reporter assay//PAR-CLIP,21712254|24398324,Unspecified
hsa-mir-130a-3p,MIMAT0000425,F2RL1,2150,HITS-CLIP,23824327,Unspecified
hsa-mir-130a-3p,MIMAT0000425,ACSL4,2182,HITS-CLIP//PAR-CLIP,21572407,Unspecified
hsa-mir-130a-3p,MIMAT0000425,FKTN,2218,HITS-CLIP,19536157,Unspecified
hsa-mir-130a-3p,MIMAT0000425,G6PC,2538,PAR-CLIP,23592263,Unspecified
hsa-mir-130a-3p,MIMAT0000425,GJA1,2697,Immunofluorescence//In situ hybridization//Luciferase reporter assay//Western blot,24819345,Unspecified
hsa-mir-130a-3p,MIMAT0000425,GMFB,2764,PAR-CLIP,23592263|24398324|23446348|21572407|20371350,Unspecified
hsa-mir-130a-3p,MIMAT0000425,GP2,2813,HITS-CLIP//PAR-CLIP,23824327|27292025,Unspecified
hsa-mir-130a-3p,MIMAT0000425,GRB10,2887,PAR-CLIP,23446348|21572407|20371350,Unspecified
hsa-mir-130a-3p,MIMAT0000425,GRSF1,2926,PAR-CLIP,27292025,Unspecified
hsa-mir-130a-3p,MIMAT0000425,HADHB,3032,PAR-CLIP,22012620,Unspecified
