"TARGET_GENE","GENE_DESCRIPTION","KEGG","BIOCARTA","PID","REACTOME","VALIDATION","DIANA","MIRANDA","MIRBRIDGE","PICTAR","PITA","RNA22","TARGETSCAN","TOTAL_HIT"
"PTBP2","polypyrimidine tract binding protein 2","0","0","0","0","V","V","V","V","V","V","V","V","8"
"CLTA","clathrin, light chain A","4","0","2","23","","V","V","V","V","V","V","V","7"
"ADCYAP1","adenylate cyclase activating polypeptide 1 (pituitary)","1","0","0","11","","V","V","V","V","V","","V","6"
"ARFIP2","ADP-ribosylation factor interacting protein 2","0","1","1","0","","V","V","V","V","V","","V","6"
"BAZ2A","bromodomain adjacent to zinc finger domain, 2A","0","0","0","0","","V","V","V","V","V","","V","6"
"BCL2L1","BCL2-like 1","8","5","5","8","","V","V","V","V","V","","V","6"
"C11ORF9","","0","0","0","0","","V","V","","V","V","V","V","6"
"CASC3","cancer susceptibility candidate 3","1","0","0","5","","V","V","","V","V","V","V","6"
"CCDC117","coiled-coil domain containing 117","0","0","0","0","","V","V","","V","V","V","V","6"
"CCNC","cyclin C","0","0","0","4","","V","V","V","V","V","V","","6"
"CD47","CD47 molecule","1","0","1","4","","V","V","V","V","V","","V","6"
"CRK","v-crk avian sarcoma virus CT10 oncogene homolog","13","2","20","23","","V","V","V","V","V","","V","6"
"CSNK1G3","casein kinase 1, gamma 3","1","0","3","0","","V","V","V","V","V","","V","6"
"GCH1","GTP cyclohydrolase 1","2","0","0","4","","V","V","V","V","V","","V","6"
"KIAA1429","KIAA1429","0","0","0","0","","V","V","V","V","V","","V","6"
"LASP1","LIM and SH3 protein 1","0","0","0","0","","V","V","","V","V","V","V","6"
"LASS2","","0","0","0","2","","V","V","","V","V","V","V","6"
"MAML1","mastermind-like 1 (Drosophila)","1","0","2","6","","V","V","V","V","V","","V","6"
"MTMR4","myotubularin related protein 4","0","0","0","0","","V","V","","V","V","V","V","6"
"NFAT5","nuclear factor of activated T-cells 5, tonicity-responsive","6","0","0","0","","V","V","V","V","V","","V","6"
"PPP2CA","protein phosphatase 2, catalytic subunit, alpha isozyme","7","14","9","65","","V","V","V","V","V","","V","6"
"PPP2CB","protein phosphatase 2, catalytic subunit, beta isozyme","7","1","1","61","","V","V","V","V","V","","V","6"
"PTPRZ1","protein tyrosine phosphatase, receptor-type, Z polypeptide 1","1","0","0","0","","V","V","V","V","V","","V","6"
"RBPJ","recombination signal binding protein for immunoglobulin kappa J region","1","1","3","9","","V","V","V","V","V","","V","6"
"RCE1","Ras converting CAAX endopeptidase 1","0","0","0","0","","V","V","","V","V","V","V","6"
"SCN2B","sodium channel, voltage-gated, type II, beta subunit","0","0","0","4","","V","V","V","","V","V","V","6"
"SEC61B","Sec61 beta subunit","4","0","0","7","","V","V","V","V","V","","V","6"
"SGK1","serum/glucocorticoid regulated kinase 1","1","0","5","0","","V","V","V","V","V","","V","6"
"SMARCD1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1","0","0","1","0","","V","V","V","V","V","","V","6"
"SP3","Sp3 transcription factor","0","1","2","0","","V","V","V","V","V","","V","6"
"STC1","stanniocalcin 1","0","0","0","0","","V","V","V","V","V","V","","6"
"TRAM2","translocation associated membrane protein 2","0","0","0","0","","V","","V","V","V","V","V","6"
"USP6","ubiquitin specific peptidase 6 (Tre-2 oncogene)","0","0","1","0","","V","V","V","V","V","","V","6"
"VAMP2","vesicle-associated membrane protein 2 (synaptobrevin 2)","3","0","2","22","","V","V","V","V","V","","V","6"
"VAPB","VAMP (vesicle-associated membrane protein)-associated protein B and C","0","0","0","2","","V","V","V","V","V","","V","6"
"YES1","v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1","2","0","15","15","","V","V","V","V","V","","V","6"
"ZNF740","zinc finger protein 740","0","0","0","0","","V","V","","V","V","V","V","6"
"AFAP1","actin filament associated protein 1","0","0","0","0","","V","V","","","V","V","V","5"
"ANKRD12","ankyrin repeat domain 12","0","0","0","0","","V","V","","V","V","","V","5"
"ARHGAP12","Rho GTPase activating protein 12","0","0","0","3","","V","V","","V","V","","V","5"
"ARHGDIA","Rho GDP dissociation inhibitor (GDI) alpha","2","0","8","8","","V","V","","V","V","","V","5"
"ASH1L","ash1 (absent, small, or homeotic)-like (Drosophila)","2","0","0","0","","V","V","V","","V","","V","5"
"ATP6AP2","ATPase, H+ transporting, lysosomal accessory protein 2","0","0","1","0","","V","V","","V","V","","V","5"
"BCL2L2","BCL2-like 2","0","0","1","0","","V","V","","V","V","","V","5"
"BCORL1","BCL6 corepressor-like 1","0","0","0","0","","V","V","","V","V","","V","5"
"BTBD3","BTB (POZ) domain containing 3","0","0","0","0","","V","V","","V","V","","V","5"
"CCBL2","cysteine conjugate-beta lyase 2","2","0","0","3","","V","V","","V","V","","V","5"
"CMPK1","cytidine monophosphate (UMP-CMP) kinase 1, cytosolic","2","0","0","3","","V","V","","V","V","","V","5"
"CREB5","cAMP responsive element binding protein 5","3","0","0","0","","V","V","V","","V","","V","5"
"DOLPP1","dolichyldiphosphatase 1","1","0","0","6","","V","V","","V","V","","V","5"
"EIF2C1","","0","0","0","2","","V","V","","V","V","","V","5"
"ELAVL1","ELAV like RNA binding protein 1","0","1","0","5","","V","V","","V","V","","V","5"
"ELF2","E74-like factor 2 (ets domain transcription factor)","0","0","1","0","","V","V","","V","V","","V","5"
"ENPEP","glutamyl aminopeptidase (aminopeptidase A)","1","0","0","0","","V","V","","","V","V","V","5"
"EPHA7","EPH receptor A7","1","0","2","0","","V","V","","V","V","","V","5"
"FAM117B","family with sequence similarity 117, member B","0","0","0","0","","V","V","","V","V","","V","5"
"FBXL19","F-box and leucine-rich repeat protein 19","0","0","0","0","","V","V","","V","V","","V","5"
"FBXL2","F-box and leucine-rich repeat protein 2","0","0","0","0","","V","V","V","V","","","V","5"
"FOXP4","forkhead box P4","0","0","0","0","","V","V","","V","V","","V","5"
"FRMD5","FERM domain containing 5","0","0","0","0","","V","V","","V","V","V","","5"
"GDI2","GDP dissociation inhibitor 2","0","0","0","3","","V","V","","V","V","","V","5"
"GPM6A","glycoprotein M6A","0","0","0","0","","V","V","","V","V","","V","5"
"HMGCLL1","3-hydroxymethyl-3-methylglutaryl-CoA lyase-like 1","0","0","0","0","","V","V","","V","V","V","","5"
"ITGA3","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)","9","0","10","5","","V","V","V","V","V","","","5"
"KIF3C","kinesin family member 3C","0","0","0","3","","V","V","","","V","V","V","5"
"LHFP","lipoma HMGIC fusion partner","0","0","0","0","","V","V","","V","V","","V","5"
"LRRC7","leucine rich repeat containing 7","0","0","0","0","","V","V","","V","V","","V","5"
"MAP3K3","mitogen-activated protein kinase kinase kinase 3","3","1","4","4","","V","V","","V","V","","V","5"
"MCL1","myeloid cell leukemia sequence 1 (BCL2-related)","0","0","4","0","","V","V","","V","V","","V","5"
"MEIS1","Meis homeobox 1","0","0","0","0","","V","V","","V","V","","V","5"
"MEIS2","Meis homeobox 2","0","0","0","0","","V","V","","V","V","","V","5"
"MLLT3","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3","0","0","0","0","","V","V","","V","V","","V","5"
"MYH9","myosin, heavy chain 9, non-muscle","3","0","0","5","","V","V","V","","V","","V","5"
"NRIP3","nuclear receptor interacting protein 3","0","0","0","0","","V","V","","V","","V","V","5"
