"TARGET_GENE","GENE_DESCRIPTION","KEGG","BIOCARTA","PID","REACTOME","VALIDATION","DIANA","MIRANDA","MIRBRIDGE","PICTAR","PITA","RNA22","TARGETSCAN","TOTAL_HIT"
"ROCK2","Rho-associated, coiled-coil containing protein kinase 2","10","1","7","9","V","V","V","V","V","V","","V","7"
"UNC5D","unc-5 homolog D (C. elegans)","1","0","0","4","","V","V","V","V","V","V","V","7"
"ANK1","ankyrin 1, erythrocytic","0","0","0","7","","V","V","V","V","V","","V","6"
"ARHGEF3","Rho guanine nucleotide exchange factor (GEF) 3","0","2","1","10","","V","V","V","V","V","","V","6"
"DCP1A","decapping mRNA 1A","1","0","1","8","","V","V","V","V","V","","V","6"
"DTX1","deltex homolog 1 (Drosophila)","1","0","2","0","","V","V","V","V","V","","V","6"
"EFNB3","ephrin-B3","1","0","1","0","","V","V","V","V","V","","V","6"
"FERMT2","fermitin family member 2","0","0","0","3","","V","V","V","V","V","","V","6"
"GPR3","G protein-coupled receptor 3","0","0","0","0","","V","V","V","V","V","","V","6"
"LPHN3","latrophilin 3","0","0","0","0","","V","V","V","V","V","V","","6"
"NEBL","nebulette","0","0","0","0","","V","V","V","V","V","","V","6"
"PAPPA","pregnancy-associated plasma protein A, pappalysin 1","0","0","0","2","","V","V","V","V","V","","V","6"
"PHOX2B","paired-like homeobox 2b","0","0","0","0","","V","V","V","V","V","","V","6"
"PPARGC1A","peroxisome proliferator-activated receptor gamma, coactivator 1 alpha","3","3","4","4","","V","V","V","V","V","","V","6"
"RARA","retinoic acid receptor, alpha","2","5","1","3","","V","V","V","V","V","","V","6"
"RMND5A","required for meiotic nuclear division 5 homolog A (S. cerevisiae)","0","0","0","0","","V","V","V","V","V","","V","6"
"SEMA4C","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C","1","0","0","0","","V","V","V","V","V","","V","6"
"SIN3A","SIN3 transcription regulator family member A","1","1","5","5","","V","V","V","V","V","","V","6"
"SIRT1","sirtuin 1","0","1","8","0","","V","V","V","V","V","","V","6"
"SOX4","SRY (sex determining region Y)-box 4","0","0","0","0","","V","V","V","V","V","","V","6"
"THAP11","THAP domain containing 11","0","0","0","0","","V","V","","V","V","V","V","6"
"UBP1","upstream binding protein 1 (LBP-1a)","0","0","0","0","","V","V","V","V","V","","V","6"
"UPF2","UPF2 regulator of nonsense transcripts homolog (yeast)","1","0","0","5","","V","V","V","V","V","","V","6"
"WHSC1L1","Wolf-Hirschhorn syndrome candidate 1-like 1","1","0","0","0","","V","V","V","V","V","","V","6"
"ZEB2","zinc finger E-box binding homeobox 2","0","0","0","0","","V","V","V","V","V","","V","6"
"ZMYND11","zinc finger, MYND-type containing 11","0","0","0","0","","V","V","V","V","V","","V","6"
"RHOC","ras homolog family member C","0","0","3","11","V","V","","","V","V","","V","5"
"ADCY1","adenylate cyclase 1 (brain)","16","13","3","44","","V","","V","V","V","","V","5"
"ANKRD13B","ankyrin repeat domain 13B","0","0","0","0","","V","V","","V","V","","V","5"
"ARL4C","ADP-ribosylation factor-like 4C","0","0","0","0","","V","V","","V","V","","V","5"
"ATP11C","ATPase, class VI, type 11C","0","0","0","3","","V","V","","V","V","","V","5"
"BCL11A","B-cell CLL/lymphoma 11A (zinc finger protein)","0","0","0","0","","V","V","","V","V","","V","5"
"BNIP3L","BCL2/adenovirus E1B 19kDa interacting protein 3-like","0","0","1","0","","V","V","","V","V","","V","5"
"C11ORF57","chromosome 11 open reading frame 57","0","0","0","0","","V","V","","V","V","","V","5"
"C20ORF117","","0","0","0","0","","V","V","","V","V","","V","5"
"CALML4","calmodulin-like 4","0","0","0","0","","V","V","","V","V","","V","5"
"CALN1","calneuron 1","0","0","0","0","","V","V","","V","V","","V","5"
"CBFA2T2","core-binding factor, runt domain, alpha subunit 2; translocated to, 2","0","0","0","0","","V","V","V","V","","","V","5"
"CCDC109A","","0","0","0","0","","V","V","","V","V","","V","5"
"CCNE1","cyclin E1","6","7","7","15","","V","V","V","V","V","","","5"
"CLNS1A","chloride channel, nucleotide-sensitive, 1A","1","0","0","4","","V","","V","V","V","","V","5"
"CNOT8","CCR4-NOT transcription complex, subunit 8","1","0","0","5","","V","V","","V","V","","V","5"
"CPEB4","cytoplasmic polyadenylation element binding protein 4","0","0","0","0","","V","V","","V","V","V","","5"
"CTDSPL2","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2","0","0","0","0","","V","V","","V","V","","V","5"
"DCUN1D4","DCN1, defective in cullin neddylation 1, domain containing 4","0","0","0","0","","V","V","","V","V","","V","5"
"E2F3","E2F transcription factor 3","10","0","4","14","","V","V","V","","V","","V","5"
"EIF2C1","","0","0","0","2","","V","V","","V","V","","V","5"
"EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1","5","3","4","16","","V","V","V","V","","","V","5"
"EPB41L4B","erythrocyte membrane protein band 4.1 like 4B","0","0","0","0","","V","V","","V","V","","V","5"
"EPHA8","EPH receptor A8","1","0","2","0","","V","V","V","V","","","V","5"
"EZH2","enhancer of zeste homolog 2 (Drosophila)","0","0","0","0","","V","V","V","V","V","","","5"
"FEM1C","fem-1 homolog c (C. elegans)","0","0","0","0","","V","V","","V","V","","V","5"
"GLI2","GLI family zinc finger 2","3","1","2","0","","V","V","V","V","","","V","5"
"HDAC4","histone deacetylase 4","0","1","5","0","","V","V","V","V","","","V","5"
"HIF1AN","hypoxia inducible factor 1, alpha subunit inhibitor","0","0","2","0","","V","V","","V","V","","V","5"
"HISPPD2A","","0","0","0","0","","V","V","","V","V","","V","5"
"ING1","inhibitor of growth family, member 1","0","0","0","0","","V","V","V","V","","","V","5"
"INHBB","inhibin, beta B","2","0","0","4","","V","V","V","V","V","","","5"
"JARID1A","","0","0","0","0","","V","V","V","V","","","V","5"
"JARID2","jumonji, AT rich interactive domain 2","0","0","0","0","","V","V","","V","V","","V","5"
"JAZF1","JAZF zinc finger 1","0","0","0","0","","V","V","V","","V","","V","5"
"JMJD1C","jumonji domain containing 1C","0","0","0","2","","V","V","","V","V","","V","5"
"JOSD1","Josephin domain containing 1","0","0","0","0","","V","V","","V","V","","V","5"
"KBTBD4","kelch repeat and BTB (POZ) domain containing 4","0","0","0","0","","V","V","","V","V","","V","5"
"KLF11","Kruppel-like factor 11","0","0","0","0","","V","","V","V","V","","V","5"
"KLF12","Kruppel-like factor 12","0","0","0","0","","V","V","V","V","","V","","5"
"LIMK1","LIM domain kinase 1","3","4","5","6","","V","V","V","V","","","V","5"
"LPHN1","latrophilin 1","0","0","0","0","","V","V","","V","V","","V","5"
"LSM14A","LSM14A, SCD6 homolog A (S. cerevisiae)","0","0","0","0","","V","V","","V","V","","V","5"
"LYPLA1","lysophospholipase I","1","0","0","4","","V","V","","V","V","","V","5"
"MACF1","microtubule-actin crosslinking factor 1","0","0","0","0","","V","V","","V","V","","V","5"
"MAP3K11","mitogen-activated protein kinase kinase kinase 11","1","1","4","0","","V","V","V","V","","","V","5"
"MINK1","misshapen-like kinase 1","0","0","0","0","","V","V","","V","V","","V","5"
"MLL3","","0","0","0","0","","V","V","V","","V","","V","5"
"MNT","MNT, MAX dimerization protein","0","0","0","0","","V","V","V","V","V","","","5"
"MYEF2","myelin expression factor 2","0","0","0","0","","V","V","V","V","V","","","5"
"MYST3","","0","0","0","0","","V","V","V","V","","","V","5"
"NBEA","neurobeachin","0","0","0","0","","V","V","","V","V","","V","5"
"NPTX1","neuronal pentraxin I","0","0","0","0","","V","V","","V","V","","V","5"
"NR4A3","nuclear receptor subfamily 4, group A, member 3","0","0","0","3","","V","V","V","V","V","","","5"
"PDE7B","phosphodiesterase 7B","1","0","0","4","","V","V","","V","V","","V","5"
"PDIK1L","PDLIM1 interacting kinase 1 like","0","0","0","0","","V","V","","V","V","","V","5"
"PFN2","profilin 2","2","0","0","3","","V","V","V","V","V","","","5"
"PTK2","protein tyrosine kinase 2","11","18","2","19","","V","","V","V","V","","V","5"
"PTP4A1","protein tyrosine phosphatase type IVA, member 1","0","0","1","0","","V","V","","V","V","","V","5"
"RALGPS1","Ral GEF with PH domain and SH3 binding motif 1","0","0","0","0","","V","V","","","V","V","V","5"
"RCAN2","regulator of calcineurin 2","0","0","2","0","","V","V","","V","V","","V","5"
"RCOR3","REST corepressor 3","0","0","0","0","","V","V","","V","V","","V","5"
"RELN","reelin","2","0","2","0","","V","V","","V","V","","V","5"
"RIMS3","regulating synaptic membrane exocytosis 3","0","0","0","0","","V","V","","V","V","","V","5"
"RPS6KA1","ribosomal protein S6 kinase, 90kDa, polypeptide 1","6","9","4","41","","V","V","","V","V","","V","5"
"RSF1","remodeling and spacing factor 1","0","0","0","3","","V","V","V","V","V","","","5"
"SENP1","SUMO1/sentrin specific peptidase 1","0","0","1","0","","V","V","","V","V","","V","5"
"SEPT11","septin 11","0","0","0","0","","V","","V","V","V","","V","5"
"SH2B3","SH2B adaptor protein 3","1","0","2","5","","V","V","","V","V","","V","5"
"SIM2","single-minded family bHLH transcription factor 2","0","0","0","0","","V","V","","","V","V","V","5"
"SLC17A7","solute carrier family 17 (vesicular glutamate transporter), member 7","0","0","0","8","","V","V","","V","V","","V","5"
